Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",General Concept
2,What is the dielectric constant of a metal?,General Concept
3,"————— gives the information on field strength, direction, and nature of the charge.",General Concept
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,General Concept
5,What happens when a glass rod is rubbed with silk?,General Concept
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,General Concept
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,General Concept
8,A freely suspended magnet aligns in which direction?,General Concept
9,The power factor is one for which of the following?,General Concept
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,General Concept
11,How can the fringe width increase in Young’s double-slit experiment?,General Concept
12,Which of the following light phenomena confirms the transverse nature of light?,General Concept
13,Polaroid glasses are used in sunglasses because,General Concept
14,Which of the following does the wave theory of light not explain?,General Concept
15,Which of the following is conserved when light waves interfere?,General Concept
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,General Concept
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",General Concept
18,A nucleus undergoes gamma decay due to,General Concept
19,Isotones have the same number of,General Concept
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,General Concept
